duplicate_group_id,sha256,sample_count,is_duplicate_group,classes,sample_ids
DUPLICATE_GROUP_0001,04b7d5ae520554244d1fd91385c2dcbc206e92a5b64239cf6c1dd740101c864c,2,True,['Sheath blight'],"['PRIMARY_017128', 'PRIMARY_017129']"
DUPLICATE_GROUP_0002,0c9b10a7fa74df13747a44376d408933a66abfba85aa484c23a45c8d989aae8e,2,True,['Sheath blight'],"['PRIMARY_017163', 'PRIMARY_017165']"
DUPLICATE_GROUP_0003,0deb83b64a3db9a601bf1c8be0fc12114064123e9af6fdc54bb903481b4713e6,4,True,['Rice Tungro'],"['PRIMARY_004559', 'PRIMARY_004560', 'PRIMARY_004561', 'PRIMARY_004564']"
DUPLICATE_GROUP_0004,0f3bf072132cb348c33fb3b4decd5dacdbc916bd9e1e79f4526ced3c1a6feab6,2,True,['Sheath blight'],"['PRIMARY_017100', 'PRIMARY_017101']"
DUPLICATE_GROUP_0005,129f0e9120432d3a5f074a68ffcabf0475761fd424a54377494c9fb48392f902,2,True,['Rice Tungro'],"['PRIMARY_004358', 'PRIMARY_004359']"
DUPLICATE_GROUP_0006,1cddfe8a25c6e43e4fd737ec7b414651ff5411f553eaf5b007809e21025b0332,2,True,"['Rice Tungro', 'Sheath blight']","['PRIMARY_015575', 'PRIMARY_017175']"
DUPLICATE_GROUP_0007,255fbbb80b23dfe1ec05f25d1ec328c2b4415b5625c577c12ce9d378573ef804,2,True,['Sheath blight'],"['PRIMARY_017115', 'PRIMARY_017116']"
DUPLICATE_GROUP_0008,28d47efeee74af38d32a0244326a80f4dba406d2f315c70dcdf32275ab1aea48,2,True,['Rice Tungro'],"['PRIMARY_004557', 'PRIMARY_004558']"
DUPLICATE_GROUP_0009,2ba29880528fe628b95ba34b651ce8440a9384e50d778611e271e6f0873c78e2,2,True,['Rice Tungro'],"['PRIMARY_004356', 'PRIMARY_004357']"
DUPLICATE_GROUP_0010,301faa9c3101c37aa5b9d61c9f3f9f64062b7be856dded8feee3d22aa1aa676a,2,True,['Sheath blight'],"['PRIMARY_017097', 'PRIMARY_017099']"
DUPLICATE_GROUP_0011,3580582eae4c35693b02c9b1435263bbb43af25b05e472b944481a3bfc03ab17,2,True,['Sheath blight'],"['PRIMARY_017102', 'PRIMARY_017103']"
DUPLICATE_GROUP_0012,35886d8bdbe109d64511cca4461e5dbbc0a271cbc7020a348b7b5537b82c7fa8,2,True,['Sheath blight'],"['PRIMARY_017108', 'PRIMARY_017110']"
DUPLICATE_GROUP_0013,3c040945cca618f931d162adbff8d00304f0644c97016891135b6855bba30e6a,2,True,['Sheath blight'],"['PRIMARY_017091', 'PRIMARY_017092']"
DUPLICATE_GROUP_0014,4229ef84a00f1601e85ef02a271943a01b168ed3bcb141b33c1ec8c59dac3e31,2,True,['Sheath blight'],"['PRIMARY_017161', 'PRIMARY_017162']"
DUPLICATE_GROUP_0015,56b3e3ca8a6c3b4ab1029771ca6daf454a1556c1dcc7ebba2710ad3aad0b9072,2,True,['Sheath blight'],"['PRIMARY_017111', 'PRIMARY_017112']"
DUPLICATE_GROUP_0016,58a53c8c18e05b8bd57527d03a9a7038e754e61b94429aa0b698251ce9df0d5a,2,True,['Sheath blight'],"['PRIMARY_017134', 'PRIMARY_017135']"
DUPLICATE_GROUP_0017,5d9b0725919a85c01ce769ede1e5c4aee89951481037972f222808dfdcbb35aa,7,True,['Rice Tungro'],"['PRIMARY_004549', 'PRIMARY_004550', 'PRIMARY_004552', 'PRIMARY_004553', 'PRIMARY_004554', 'PRIMARY_004555', 'PRIMARY_004556']"
DUPLICATE_GROUP_0018,5f0dca161b45116469d5af9852b0c552bcdee71730755d1d07e9f347d46ef815,4,True,['Rice Tungro'],"['PRIMARY_004567', 'PRIMARY_004568', 'PRIMARY_004569', 'PRIMARY_004570']"
DUPLICATE_GROUP_0019,68be5cc1d418b4018a2819b444620ea0fa159cb0338fe2fabef5f1fcbe52aefa,2,True,"['Rice Tungro', 'Sheath blight']","['PRIMARY_015464', 'PRIMARY_017131']"
DUPLICATE_GROUP_0020,6bd75a34a849c7a6f249339f8d9c8c6031d3f679fa42c830a190d01d17131f8f,3,True,['Rice Tungro'],"['PRIMARY_004368', 'PRIMARY_004371', 'PRIMARY_004372']"
DUPLICATE_GROUP_0021,73988dbec77068d1cebc2811cbeafac1a9710b4a47a31e07dee911a6e0461905,8,True,['Rice Tungro'],"['PRIMARY_004490', 'PRIMARY_004491', 'PRIMARY_004492', 'PRIMARY_004493', 'PRIMARY_004494', 'PRIMARY_004495', 'PRIMARY_004497', 'PRIMARY_004498']"
DUPLICATE_GROUP_0022,73b01864c8bb31182aa52cc2b36a1d007f2844cf4990f81cb28a3ef859ea3057,2,True,['Rice Tungro'],"['PRIMARY_004565', 'PRIMARY_004566']"
DUPLICATE_GROUP_0023,75c862c1b104cfae408d87451883973ea219c12f4466e4e5d260d02b83a28d50,2,True,['Sheath blight'],"['PRIMARY_017117', 'PRIMARY_017118']"
DUPLICATE_GROUP_0024,783093c75af879b5fa3fc2e0380c4af35f761c5a7667ca9537fadf09faf57b10,2,True,['Sheath blight'],"['PRIMARY_017113', 'PRIMARY_017114']"
DUPLICATE_GROUP_0025,7859172fcf6b111c6bd07c806dcf08570c34605c8fa6a7c442d3ddbbbf4cef5f,2,True,['Sheath blight'],"['PRIMARY_017106', 'PRIMARY_017107']"
DUPLICATE_GROUP_0026,7c56a1ee90a100d8c5227e0ae8f27898104a46f0ec0eb3f05c99392f60d69926,2,True,['Sheath blight'],"['PRIMARY_017166', 'PRIMARY_017167']"
DUPLICATE_GROUP_0027,816c8a608493af13ca794fa4cde537261316ad335ac9708cd5f2a3224a4fdd05,2,True,['Sheath blight'],"['PRIMARY_017095', 'PRIMARY_017096']"
DUPLICATE_GROUP_0028,81b25136c8a3738bc6683f3e08df13c5614f532e383287d178bb385c5905261f,2,True,['Healthy'],"['PRIMARY_012735', 'PRIMARY_012736']"
DUPLICATE_GROUP_0029,82fb69e9aa8a154b26a685c5791c789465b5b70f5c0a8422a615bbe4eb085585,9,True,['Rice Tungro'],"['PRIMARY_004530', 'PRIMARY_004532', 'PRIMARY_004533', 'PRIMARY_004534', 'PRIMARY_004535', 'PRIMARY_004536', 'PRIMARY_004537', 'PRIMARY_004538', 'PRIMARY_004539']"
DUPLICATE_GROUP_0030,87958bb6525d6eecbb865f367ae23524d1dea282fac554851974ac9b0465841b,2,True,['Sheath blight'],"['PRIMARY_017130', 'PRIMARY_017132']"
DUPLICATE_GROUP_0031,8c571e18e26f52041599cc7b4b393b2530080ddd8555b0cc95b04954f0916a3a,2,True,['Rice Tungro'],"['PRIMARY_004978', 'PRIMARY_004979']"
DUPLICATE_GROUP_0032,8e298c7df74c58f0c24a0a498a571b9df2d3f3268e7fbfc4c81d8ad7f1c40510,3,True,['Rice Tungro'],"['PRIMARY_004994', 'PRIMARY_004996', 'PRIMARY_004997']"
DUPLICATE_GROUP_0033,92feea0e9c9f24527ed93ca2d1339349703d6d06724d8bb7ac6fd8685f3c7966,3,True,['Rice Tungro'],"['PRIMARY_004508', 'PRIMARY_004509', 'PRIMARY_004510']"
DUPLICATE_GROUP_0034,95820f64f855cbd237474e313cec86a7ab313abb89fead1eb834798851609c22,2,True,"['Brown spot', 'Healthy']","['PRIMARY_011343', 'PRIMARY_012696']"
DUPLICATE_GROUP_0035,965591cbb04d31e2ac2b9332da701995cd12ddce4cd196314a27568b7a4d63f6,4,True,['Rice Tungro'],"['PRIMARY_004499', 'PRIMARY_004500', 'PRIMARY_004501', 'PRIMARY_004502']"
DUPLICATE_GROUP_0036,98f37fdd06ace133ad47645cce93356053202ea16abf2ce579d3f403193a0fca,2,True,['Leaf smut'],"['PRIMARY_013318', 'PRIMARY_013329']"
DUPLICATE_GROUP_0037,9ccc4592c2f65a72ed5d739f0843a50da0a2553cc661badf246dcb6bb3aa8ae6,11,True,['Rice Tungro'],"['PRIMARY_004959', 'PRIMARY_004960', 'PRIMARY_004961', 'PRIMARY_004963', 'PRIMARY_004964', 'PRIMARY_004965', 'PRIMARY_004966', 'PRIMARY_004967', 'PRIMARY_004968', 'PRIMARY_004969', 'PRIMARY_004970']"
DUPLICATE_GROUP_0038,9f040d860f9252174d4333e67156bd157e744933104552e32832b1b9a0206bca,2,True,['Sheath blight'],"['PRIMARY_017159', 'PRIMARY_017160']"
DUPLICATE_GROUP_0039,a699a6aa5a30ec873511cee6ade637e5bf706faafdecda6b52e8c639ccb51d9b,2,True,['Blast'],"['PRIMARY_009021', 'PRIMARY_009032']"
DUPLICATE_GROUP_0040,a8035b9ee8799489a05f2091ca3d64cc0a7dcff6d228715693e74fc72e77b84a,2,True,['Rice Tungro'],"['PRIMARY_004503', 'PRIMARY_004504']"
DUPLICATE_GROUP_0041,b575d6656a798db6aac7ce2c0e61310d237bb6ed9376b4a4db17c394043a71aa,2,True,"['Rice Tungro', 'Sheath blight']","['PRIMARY_015797', 'PRIMARY_017242']"
DUPLICATE_GROUP_0042,c138d6b67e619c0353275b33039cef6825432b0dc5b62104a8103212f075faa3,2,True,"['Brown spot', 'Leaf smut']","['PRIMARY_011587', 'PRIMARY_013340']"
DUPLICATE_GROUP_0043,c5d45d2600c38b8a2d5e02a2d41a20839e3a77bf03675d3e045d379e8824750c,2,True,['Sheath blight'],"['PRIMARY_017089', 'PRIMARY_017090']"
DUPLICATE_GROUP_0044,c7b6f2f3ca88b67c8d2d5e8285498809d2b59f6c8eace677727a63fe49ae0189,2,True,['Sheath blight'],"['PRIMARY_017238', 'PRIMARY_017239']"
DUPLICATE_GROUP_0045,c7c9bb65105e0dfe193d4961ba1e95229a2da84124aa5a0130317e464df6962d,2,True,['Sheath blight'],"['PRIMARY_017104', 'PRIMARY_017105']"
DUPLICATE_GROUP_0046,cdcdaa53c6dc98d5f56d27564270150144ffeb7cb16194fecf30fc434b2be503,5,True,['Rice Tungro'],"['PRIMARY_004541', 'PRIMARY_004542', 'PRIMARY_004543', 'PRIMARY_004544', 'PRIMARY_004545']"
DUPLICATE_GROUP_0047,d270292f7c8ec807f6f4aa3f02135de51d6931a2cbacb440198931403029c2cd,2,True,"['Blast', 'Rice Tungro']","['PRIMARY_008632', 'PRIMARY_015686']"
DUPLICATE_GROUP_0048,d2cb3e03ebb990c2bbf1e9cd822300c78cb0b05f02b96425c26ecf0aed48481f,2,True,['Blast'],"['PRIMARY_008966', 'PRIMARY_008977']"
DUPLICATE_GROUP_0049,d714c9a7c360ba0d19fc5b350645f7571c41aec3cb257929d510a6c99e32966e,2,True,['Rice Tungro'],"['PRIMARY_004576', 'PRIMARY_004577']"
DUPLICATE_GROUP_0050,d7425bd873dfa6e67e083f4fea9d6d2069b6ce027ad7728d8f40a8a8302d4e6f,2,True,['Rice Tungro'],"['PRIMARY_005954', 'PRIMARY_005955']"
DUPLICATE_GROUP_0051,deabfaf144f17ca480f786c0a7ca12af702c36b866f6cd96335f6d611ea9c894,2,True,['Sheath blight'],"['PRIMARY_017084', 'PRIMARY_017085']"
DUPLICATE_GROUP_0052,e066024bfb92dacae38a48a62af396f65a9c6199f994c9ef9643b0187170fb16,2,True,"['Rice Tungro', 'Sheath blight']","['PRIMARY_013997', 'PRIMARY_017186']"
DUPLICATE_GROUP_0053,e434338cd56f3b98951a7da73d8fe2fd3c2caa424ff792cea9455b795388c4c4,2,True,['Sheath blight'],"['PRIMARY_017093', 'PRIMARY_017094']"
DUPLICATE_GROUP_0054,e599acd57d869d718e98e60303150c52ad0ff43e7c8ff1413135f95d3802e92f,2,True,['Sheath blight'],"['PRIMARY_017064', 'PRIMARY_017076']"
DUPLICATE_GROUP_0055,e6fa5cef7cb8cb97081b40cded90bb95b2a9edd39dce512d11d98f197b4485c4,2,True,"['Rice Tungro', 'Sheath blight']","['PRIMARY_015108', 'PRIMARY_016242']"
DUPLICATE_GROUP_0056,e8b9d61376fe8de6e3a16e740d92eb5ec3d546cdf566ec1dae7e469d8c066b6f,4,True,['Rice Tungro'],"['PRIMARY_004480', 'PRIMARY_004483', 'PRIMARY_004484', 'PRIMARY_004487']"
DUPLICATE_GROUP_0057,e9d178c7f7ee266b1681984cb52d2f3b1285b954afd1d3018062ef02bd891846,2,True,['Sheath blight'],"['PRIMARY_017086', 'PRIMARY_017088']"
DUPLICATE_GROUP_0058,f51b52651586e0f608af2a8b44bdc76cfc0e05d120db3faded8aa352ad30c749,2,True,['Sheath blight'],"['PRIMARY_017119', 'PRIMARY_017121']"
DUPLICATE_GROUP_0059,fcbb7d767a874632a0bb589af188cc710323e54c81e7871ecd6d98b04b15cc8c,2,True,['Rice Tungro'],"['PRIMARY_004583', 'PRIMARY_004584']"
DUPLICATE_GROUP_0060,ff1ba7ae79c979e672eb50b53493168550bdc5dafb20d076cd7e49b0cf0bfa3f,2,True,['Leaf smut'],"['PRIMARY_013296', 'PRIMARY_013307']"
UNIQUE_GROUP_000001,0007dc517c74197a49299efbeb26b06834428e623c4316b75ff9397d7cf8b6b3,1,False,['Blast'],['PRIMARY_000458']
UNIQUE_GROUP_000002,00091c91aa005839a2abb8bb1d523da1b0e4bca4c3acb3e0291b529b756651e3,1,False,['Sheath blight'],['PRIMARY_007589']
UNIQUE_GROUP_000003,000ad82c2c810fe8d095c735c2d3d7f2a2a71f741c931f895d7ba09027a1cb1b,1,False,['Healthy'],['PRIMARY_011950']
UNIQUE_GROUP_000004,000f664b5aa81ee76e318bdefb7b2d69378fe2cf80a088d8241332bd41c6a9a3,1,False,['Sheath blight'],['PRIMARY_006857']
UNIQUE_GROUP_000005,00101ca60186dd430d0b9dbdb7a6c6a36cff4bfa4b21836c8cabde2d735b6082,1,False,['Sheath blight'],['PRIMARY_016513']
UNIQUE_GROUP_000006,001128bb6852d1e5caf6bba140591e253fb0f486bd3097c58a49b1e4bce5b4a6,1,False,['Sheath blight'],['PRIMARY_016987']
UNIQUE_GROUP_000007,001357411adc202a397a39636405e8737c23c585baf3a15d6a850230d85c06f7,1,False,['Blast'],['PRIMARY_000162']
UNIQUE_GROUP_000008,001b90c7ebdc7af5b5491bf3e6bea90110c427ae5ec812ec9c6e25acef1579db,1,False,['Blast'],['PRIMARY_000087']
UNIQUE_GROUP_000009,00210cde5edcfba0f850e6bd47b31a7400029baa09004746703cd10de9c117d2,1,False,['Brown spot'],['PRIMARY_001947']
UNIQUE_GROUP_000010,002260afe992e2cf161f76c6d3c6ddc4b1a20d313d6fb3a3d1e9199434834e36,1,False,['Brown spot'],['PRIMARY_009977']
UNIQUE_GROUP_000011,0024921c0c1ba2b9687d4679feb7791c0c9f70da9dcd41f5e29103ab4190c6c5,1,False,['Blast'],['PRIMARY_000826']
UNIQUE_GROUP_000012,002544315ca1815ead82fa0f529a0844176012f53e357a2c06f3cef1d9b24331,1,False,['Blast'],['PRIMARY_009257']
UNIQUE_GROUP_000013,00267bc3ab9ba0b458e4b24568973cb3f7da9e6337f31dff07f2c3fb4dee156f,1,False,['Rice Tungro'],['PRIMARY_015533']
UNIQUE_GROUP_000014,002d6474af92340f29927c240ac2b1699d0b28e0cc3e5c0beade7a8454c7bf15,1,False,['Rice Tungro'],['PRIMARY_015866']
UNIQUE_GROUP_000015,0030694391c3d5e539850e3a65b6ae9bee1ee78ec7427f47cfa8292aa387876f,1,False,['Blast'],['PRIMARY_001188']
UNIQUE_GROUP_000016,003103a20f0f19c57e86cd1753e011179922dcb428cc06dc40e88da2eab2ab13,1,False,['Rice Tungro'],['PRIMARY_014990']
UNIQUE_GROUP_000017,0031187be7229f1816cdcac1dd809b257715e7775396df5146e07531358fc535,1,False,['Sheath blight'],['PRIMARY_007993']
UNIQUE_GROUP_000018,0031cca19784c1c96a654c586a061ec6d5213fb1a50d2ef03386e675c24f0809,1,False,['Rice Tungro'],['PRIMARY_015140']
UNIQUE_GROUP_000019,0032f2ae0d6a3d7073bb84c118090fab3875933ca37388e22c0454b9fc7006b3,1,False,['Sheath blight'],['PRIMARY_017050']
UNIQUE_GROUP_000020,00341a7751840580e89e1bfdff6783fd247463271487f86b0ee4a3f4227fe3ce,1,False,['Brown spot'],['PRIMARY_010299']
UNIQUE_GROUP_000021,00390347c13c9a4d2867772c09d7a2478efa0e9f875399b82c65d6e637db5911,1,False,['Rice Tungro'],['PRIMARY_014099']
UNIQUE_GROUP_000022,00468210184d8ccbf33ee79e7bf738801995419e5db8577229051c9480f69d23,1,False,['Sheath blight'],['PRIMARY_016375']
UNIQUE_GROUP_000023,004da4f5baca7926ec03befdcda2b65804ca038afed28cd09707df2ca8174415,1,False,['Leaf smut'],['PRIMARY_003873']
UNIQUE_GROUP_000024,004efca63c13a6d87badbf0bc6044b9d1c7bac232573ca45cdf139e665136d23,1,False,['Blast'],['PRIMARY_008771']
UNIQUE_GROUP_000025,00509788b6c653f25c317df50da44c36978d4247b7e28504f4211cae85b0f0d6,1,False,['Sheath blight'],['PRIMARY_016544']
UNIQUE_GROUP_000026,0051697d924fb6edb131414b1675dbdd3c6bad0857166f83136f6ce6e23e9954,1,False,['Rice Tungro'],['PRIMARY_014299']
UNIQUE_GROUP_000027,00532fb6276a6e10bbe1bbddf813ea2fa6db2a338a9c6787f337c68f95d122e9,1,False,['Brown spot'],['PRIMARY_011569']
UNIQUE_GROUP_000028,0057a7e2abcd6a0beabde8b45d10c7e50f2586f3b93d45f7e434ed09ebb91014,1,False,['Healthy'],['PRIMARY_011741']
UNIQUE_GROUP_000029,0058af99a93509297f71da41b23f989a308e40a01d90aa601ff2c3861f77e2e5,1,False,['Leaf smut'],['PRIMARY_013794']
UNIQUE_GROUP_000030,005ca27ef874bb5c7c56fd181da1a6501ac8671a3f2e15a5e1c7df0240f50878,1,False,['Rice Tungro'],['PRIMARY_005240']
UNIQUE_GROUP_000031,005e8dfbfcb7180b3ceeac7dd3b86939a86d1c972184d7f69b710330cb5d6a71,1,False,['Sheath blight'],['PRIMARY_017419']
UNIQUE_GROUP_000032,005fd4031ae9d47143d8e2cf8d0bf6eb7b855c5f971097a3932fadf3b978a95e,1,False,['Brown spot'],['PRIMARY_002077']
UNIQUE_GROUP_000033,0067534c1dc8425d696aa5beb47e6ed1aba852d076e3642ac9da04eb5479d413,1,False,['Rice Tungro'],['PRIMARY_014419']
UNIQUE_GROUP_000034,006f79b1862cb3b3f3a3ebf3ddd9c654c7b6e1a8f1c37d2e1b8f88c7b285bf61,1,False,['Rice Tungro'],['PRIMARY_014441']
UNIQUE_GROUP_000035,00710bc3a2366e820a58ecd0ff40706c4f104ed2e2e8d3923805ca630cf61c6c,1,False,['Leaf smut'],['PRIMARY_013645']
UNIQUE_GROUP_000036,00794a5908ada605e84c78eb81fd3eb0d877faf32c777497521a1007a0f4b7e5,1,False,['Brown spot'],['PRIMARY_002408']
UNIQUE_GROUP_000037,007a486fc58558f61c98b1f1550a41e39af0c6c1de99970fc1577d186d82ef7b,1,False,['Sheath blight'],['PRIMARY_006648']
UNIQUE_GROUP_000038,007a4d49713059116824de7c186032df94011528eee4e0f7bb33a93d992c1d0a,1,False,['Rice Tungro'],['PRIMARY_014385']
UNIQUE_GROUP_000039,0086d3fd8ce3c56190e3a9009238787e1b1ecd05c369911b7fd6d2a6ef662774,1,False,['Blast'],['PRIMARY_009313']
UNIQUE_GROUP_000040,00875f43c812b5a18600df8615b6c2be7d616b7f7d4bfa695a125314969c7bdb,1,False,['Brown spot'],['PRIMARY_010495']
UNIQUE_GROUP_000041,008ae459e7ce830ecfd70b9a216ea9bfab1b684cca69b64cc087748273aac3e6,1,False,['Rice Tungro'],['PRIMARY_006117']
UNIQUE_GROUP_000042,009897834d7714afd1c7afcd01d1d295a62531314cae28ca5e84d57acb6d8bae,1,False,['Rice Tungro'],['PRIMARY_014327']
UNIQUE_GROUP_000043,009c76a0071d070d80160b989892b2016789c6656a4c50e75fd7685e14ea496c,1,False,['Blast'],['PRIMARY_008685']
UNIQUE_GROUP_000044,009d855883214105594d8c9e4e399883bd763456a964b97e3ceba430fc4f1c6d,1,False,['Blast'],['PRIMARY_009499']
UNIQUE_GROUP_000045,009e1926ff9c0b2abcc1ed40d21d3c69fd2b5d5bcecb5df036ce16c826342a64,1,False,['Blast'],['PRIMARY_009460']
UNIQUE_GROUP_000046,009ea6264938c1a4e1c596b983ec4c4df53f31557eee34aca0d6f5a688d25b4e,1,False,['Healthy'],['PRIMARY_011907']
UNIQUE_GROUP_000047,00a6584873068645a2a6974fb81f22a75e3b22d3f24381cda9d617f1fc4f093c,1,False,['Sheath blight'],['PRIMARY_007765']
UNIQUE_GROUP_000048,00a75fb9d903ed7e8bcd1f537430ba504891319097b60946a29cd66961f59780,1,False,['Leaf smut'],['PRIMARY_013660']
UNIQUE_GROUP_000049,00a90f9e75a6a9b8c50b8a9bab682ff28e864f6d0ebb07123ac0913a59ee16d7,1,False,['Brown spot'],['PRIMARY_003477']
UNIQUE_GROUP_000050,00b0caf49d7faaefb768256fc2278010e1701a8a418d1311b81cae91f28fb2c7,1,False,['Brown spot'],['PRIMARY_003291']
UNIQUE_GROUP_000051,00b1b72ca8143fe4f4a150d73fa85e6d465ca74f04fed2ea8f88dd3deb82c469,1,False,['Blast'],['PRIMARY_008523']
UNIQUE_GROUP_000052,00b6718ca88c9c4c947d42406a139db5b6a25072230e4ee9fbf735f75812c1dd,1,False,['Blast'],['PRIMARY_000334']
UNIQUE_GROUP_000053,00c858f878b1aedcfb4b851012abf377ce36b0bb1c01ffdea107c85a0eef9ede,1,False,['Brown spot'],['PRIMARY_011269']
UNIQUE_GROUP_000054,00c8f3a5c8a88894ee25eb2d25d2c7827c703d466c6ec8efceb5c6a3347466ef,1,False,['Blast'],['PRIMARY_000341']
UNIQUE_GROUP_000055,00ce73db2a71e2a1ab0872b2b0e1f67ff3108c7dcf0313f20c15da515c903373,1,False,['Sheath blight'],['PRIMARY_017359']
UNIQUE_GROUP_000056,00d7180f362e433edc574034a1cdcac414b0b529d229e2fe177b2974937cb56e,1,False,['Leaf smut'],['PRIMARY_003980']
UNIQUE_GROUP_000057,00d8d35132a6742810ccf3f6dc2e872f708faf2d6426c1eee5e6c0f00eeb0ac7,1,False,['Blast'],['PRIMARY_009316']
UNIQUE_GROUP_000058,00d96f1c8b78af4c590f006bec0f511e564c12970123a3df25859357b196c4d1,1,False,['Rice Tungro'],['PRIMARY_006301']
UNIQUE_GROUP_000059,00da3248ccdd45013a79adddb0cec8ade0a3c40deceedd2a3651afc43997be89,1,False,['Rice Tungro'],['PRIMARY_006253']
UNIQUE_GROUP_000060,00de30396fbd26591b4a65abab4aee6b71eb5549780b4ecf62ca589ca096e8b8,1,False,['Rice Tungro'],['PRIMARY_015764']
UNIQUE_GROUP_000061,00ecf41058b2b75c6051349a09d56afdee4d150f773b4a13dd84de2a0e6457fd,1,False,['Brown spot'],['PRIMARY_009822']
UNIQUE_GROUP_000062,00f044e8165159ee61a01489f507c5a1db5249caed2b17bd1c869a5b13d0a77c,1,False,['Sheath blight'],['PRIMARY_006688']
UNIQUE_GROUP_000063,00f55048d53579e6aaafce3f3295aaf9e1f90e503c325a574880ff82b10c1553,1,False,['Leaf smut'],['PRIMARY_003690']
UNIQUE_GROUP_000064,00f625cdb2a7471408584f5dad517e9bfecc68e7ec1f778315b25f4579cbe18b,1,False,['Brown spot'],['PRIMARY_010438']
UNIQUE_GROUP_000065,00fe1a7ab208cf76fb058ecee90222558e76ebe9cdc51506030129446581829c,1,False,['Rice Tungro'],['PRIMARY_014722']
UNIQUE_GROUP_000066,01016fd895c3c5c265ef619e54e79f47bf98553a0c011dc4284cd7c05e0a3b5e,1,False,['Healthy'],['PRIMARY_013126']
UNIQUE_GROUP_000067,01055fb69a062401aa05a8ae96ff0fc3818aa32c68947f9f6b518c0e4a212623,1,False,['Blast'],['PRIMARY_000251']
UNIQUE_GROUP_000068,010614651797f9cc3380b15de3e1d723b715e25523cd34d478eafcdbebe45815,1,False,['Rice Tungro'],['PRIMARY_014544']
UNIQUE_GROUP_000069,010a557ecfb488a3ee856e0e3c999f5222884a8b854465181d21c6fa8c76e108,1,False,['Blast'],['PRIMARY_009201']
UNIQUE_GROUP_000070,010cf3cf20c38dae78df1125308ff0027d01bb758ad5dc56ac91c6befe749635,1,False,['Blast'],['PRIMARY_001293']
UNIQUE_GROUP_000071,010f3ebdc611b5bedc942967d372ef9ec4d056ab9e53c8404e0b200e3fca3be8,1,False,['Sheath blight'],['PRIMARY_007187']
