sample_id,paired_sethy_id,paired_sethy_filename,class_name,mask_path,dataset_role
RICESEG_000000,SETHY_000000,BACTERAILBLIGHT3_001.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_001.jpg,XAI_GROUND_TRUTH
RICESEG_000001,SETHY_000001,BACTERAILBLIGHT3_002.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_002.jpg,XAI_GROUND_TRUTH
RICESEG_000002,SETHY_000002,BACTERAILBLIGHT3_003.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_003.jpg,XAI_GROUND_TRUTH
RICESEG_000003,SETHY_000003,BACTERAILBLIGHT3_004.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_004.jpg,XAI_GROUND_TRUTH
RICESEG_000004,SETHY_000004,BACTERAILBLIGHT3_005.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_005.jpg,XAI_GROUND_TRUTH
RICESEG_000005,SETHY_000005,BACTERAILBLIGHT3_006.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_006.jpg,XAI_GROUND_TRUTH
RICESEG_000006,SETHY_000006,BACTERAILBLIGHT3_007.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_007.jpg,XAI_GROUND_TRUTH
RICESEG_000007,SETHY_000007,BACTERAILBLIGHT3_008.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_008.jpg,XAI_GROUND_TRUTH
RICESEG_000008,SETHY_000008,BACTERAILBLIGHT3_009.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_009.jpg,XAI_GROUND_TRUTH
RICESEG_000009,SETHY_000009,BACTERAILBLIGHT3_010.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_010.jpg,XAI_GROUND_TRUTH
RICESEG_000010,SETHY_000010,BACTERAILBLIGHT3_011.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_011.jpg,XAI_GROUND_TRUTH
RICESEG_000011,SETHY_000011,BACTERAILBLIGHT3_012.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_012.jpg,XAI_GROUND_TRUTH
RICESEG_000012,SETHY_000012,BACTERAILBLIGHT3_013.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_013.jpg,XAI_GROUND_TRUTH
RICESEG_000013,SETHY_000013,BACTERAILBLIGHT3_014.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_014.jpg,XAI_GROUND_TRUTH
RICESEG_000014,SETHY_000014,BACTERAILBLIGHT3_015.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_015.jpg,XAI_GROUND_TRUTH
RICESEG_000015,SETHY_000015,BACTERAILBLIGHT3_016.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_016.jpg,XAI_GROUND_TRUTH
RICESEG_000016,SETHY_000016,BACTERAILBLIGHT3_017.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_017.jpg,XAI_GROUND_TRUTH
RICESEG_000017,SETHY_000017,BACTERAILBLIGHT3_018.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_018.jpg,XAI_GROUND_TRUTH
RICESEG_000018,SETHY_000018,BACTERAILBLIGHT3_019.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_019.jpg,XAI_GROUND_TRUTH
RICESEG_000019,SETHY_000019,BACTERAILBLIGHT3_020.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_020.jpg,XAI_GROUND_TRUTH
RICESEG_000020,SETHY_000020,BACTERAILBLIGHT3_021.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_021.jpg,XAI_GROUND_TRUTH
RICESEG_000021,SETHY_000021,BACTERAILBLIGHT3_022.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_022.jpg,XAI_GROUND_TRUTH
RICESEG_000022,SETHY_000022,BACTERAILBLIGHT3_023.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_023.jpg,XAI_GROUND_TRUTH
RICESEG_000023,SETHY_000023,BACTERAILBLIGHT3_024.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_024.jpg,XAI_GROUND_TRUTH
RICESEG_000024,SETHY_000024,BACTERAILBLIGHT3_025.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_025.jpg,XAI_GROUND_TRUTH
RICESEG_000025,SETHY_000025,BACTERAILBLIGHT3_026.jpg,Bacterialblight,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_026.jpg,XAI_GROUND_TRUTH
